Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Effron, D.A.","26430694100;","It Could Have Been True: How Counterfactual Thoughts Reduce Condemnation of Falsehoods and Increase Political Polarization",2018,"Personality and Social Psychology Bulletin","44","5",,"729","745",,1,"10.1177/0146167217746152","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044785243&doi=10.1177%2f0146167217746152&partnerID=40&md5=91dcf90c0adb6de1db778c332535e17b",Article,"Final",,Scopus,2-s2.0-85044785243
"Effron, D.A., Markus, H.R., Jackman, L.M., Muramoto, Y., Muluk, H.","26430694100;7102054574;57192692544;36015315900;34977218900;","Hypocrisy and culture: Failing to practice what you preach receives harsher interpersonal reactions in independent (vs. interdependent) cultures",2018,"Journal of Experimental Social Psychology","76",,,"371","384",,1,"10.1016/j.jesp.2017.12.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041592101&doi=10.1016%2fj.jesp.2017.12.009&partnerID=40&md5=fc7ea113df24916fa6911d162f701ac2",Article,"Final",,Scopus,2-s2.0-85041592101
"Sassler, S., Michelmore, K., Qian, Z.","6603538477;55939491700;7201384465;","Transitions From Sexual Relationships Into Cohabitation and Beyond",2018,"Demography","55","2",,"511","534",,1,"10.1007/s13524-018-0649-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042070086&doi=10.1007%2fs13524-018-0649-8&partnerID=40&md5=48b428e88fb7d05aef360263a676316b",Article,"Final",,Scopus,2-s2.0-85042070086
"Mavis, C.P., Richter, A., Landau, C., Schmidt, S.L., Simons, T., Steinbock, K.","57201615863;23486562500;55549242600;57203793586;7005249292;57201614445;","What Happens when Companies (don't) Do What they Said they would? Stock Market Reactions to Strategic Integrity",2018,"European Management Review",,,,"","",,1,"10.1111/emre.12175","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045387407&doi=10.1111%2femre.12175&partnerID=40&md5=6b0e5fe7a41ab4d2587945dd4e4f0589",Article in Press,"Article in Press",Open Access,Scopus,2-s2.0-85045387407
"Schur, L., Kim, A., Han, K., Ameri, M., Adya, M., Blanck, P., Kruse, D.","",[No title available],2017,"Disability at Work: A Look Back and Forward",,,,"","",,1,,,Article,"Final",,Scopus,2-s2.0-85056444225
"Gelatt, J., Bernstein, H., Koball, H.","",[No title available],2017,"State immigration policy resource",,,,"","",,1,,,Article,"Final",,Scopus,2-s2.0-85050306604
"Griffith, K.L., Gleeson, S.M.","","The precarity of temporality: How law inhibits immigrant worker claims",2017,"Comparative Labor Law and Policy Journal","39","1",,"","",,1,,,Article,"Final",,Scopus,2-s2.0-85050305557
"Stacy, C., Cohen, M.","","Ban the Box and Racial Discrimination",2017,"URBAN INST",,,,"","",,1,,,Article,"Final",,Scopus,2-s2.0-85048251397
"Svrluga, S.","","He Robbed Banks and Went to Prison. His Time There Put Him on Track for a New Job: Georgetown Law Professor",2017,"WASH. POST",,,,"","",,1,,,Article,"Final",,Scopus,2-s2.0-85048254059
"Rose, M.","","Whitehouse, Modern Prison Labor: A Reemergence of Convict Leasing Under the Guise of Rehabilitation and Private Enterprises",2017,"LOY. J. PUB. INT. L","18",,,"","",,1,,,Article,"Final",,Scopus,2-s2.0-85048252693
"Vella, V.","","State Bar Committee Approves Jail-to-Yale Lawyer",2017,"HARTFORD COURANT",,,,"","",,1,,,Article,"Final",,Scopus,2-s2.0-85048288548
"Weiss, B.","","Admit This Ex-Con to the Connecticut Bar",2017,"N.Y. TIMES",,,,"","",,1,,,Article,"Final",,Scopus,2-s2.0-85048284822
"Choe, C., Baldwin, M.L.","55969978500;7202508403;","Duration of disability, job mismatch and employment outcomes",2017,"Applied Economics","49","10",,"1001","1015",,1,"10.1080/00036846.2016.1210767","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978992715&doi=10.1080%2f00036846.2016.1210767&partnerID=40&md5=5b7d4280b053b2fbefea1170728503fc",Article,"Final",,Scopus,2-s2.0-84978992715
"Marquis, S.L.","57204892682;","I am not a tractor!: How Florida farmworkers took on the fast food giants and won",2017,"I Am Not a Tractor!: How Florida Farmworkers Took On the Fast Food Giants and Won",,,,"1","279",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050291577&partnerID=40&md5=898e4e4abff772ce2b0d25d00c0818e7",Book,"Final",,Scopus,2-s2.0-85050291577
"Way, S.A., Simons, T., Leroy, H., Tuleja, E.A.","","What is in it for me? Middle manager behavioral integrity and performance",2016,"Journal of Business Ethics","150",,,"1","13",,1,,,Article,"Final",,Scopus,2-s2.0-85056279976
"Woo, J., Horn, L.","",[No title available],2016,"Reaching the limit: Undergraduates who borrow the maximum amount in federal direct loans: 2011-12. Stats in brief. NCES 2016-408",,,,"","",,1,,,Article,"Final",,Scopus,2-s2.0-85053899264
[No author name available],[No author id available],[No title available],2016,"Global migration trends factsheet",,,,"","",,1,,,Article,"Final",,Scopus,2-s2.0-85050287204
"Padilla, B., França, T.","","Migration policies and institutional frameworks: development and evolution in Portugal",2016,"Comparative Cultural Studies: European and Latin American Perspectives","1",,,"37","52",,1,,,Article,"Final",,Scopus,2-s2.0-85049625280
"Effron, D.A.","26430694100;","Beyond ""being good frees us to be bad"": Moral self-licensing and the fabrication of moral credentials",2016,"Cheating, Corruption, and Concealment: The Roots of Dishonesty",,,,"33","54",,1,"10.1017/CBO9781316225608.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048615460&doi=10.1017%2fCBO9781316225608.004&partnerID=40&md5=0ac0b354e7cebebe406350e1d1122e0f",Book Chapter,"Final",,Scopus,2-s2.0-85048615460
"Facts, Q.","",[No title available],2016,"U.S. CENSUS BUREAU",,,,"","",,1,,,Article,"Final",,Scopus,2-s2.0-85048302775
"Agan, A., Starr, S.","",[No title available],2016,"Ban the Box, Criminal Records, and Statistical Discrimination: A Field Experiment","4",,,"","",,1,,,Article,"Final",,Scopus,2-s2.0-85048279985
"Gonzalez, E.","","A Decade After Prison, a Poet Studies for the Bar Exam",2016,"NEW YORKER",,,,"","",,1,,,Article,"Final",,Scopus,2-s2.0-85048274520
"Devata, P.Q.","","Trends in the “Ban the Box” Movement: Recent Developments in City Ordinances",2016,"LABOR AND EMP’T LAW COUNSEL",,,,"","",,1,,,Article,"Final",,Scopus,2-s2.0-85048293012
"Agan, A., Starr, S.","",[No title available],2016,"Ban the Box, Criminal Records, and Statistical Discrimination: A Field Experiment","4",,,"","",,1,,,Article,"Final",,Scopus,2-s2.0-85048305132
"Agan, A., Starr, S.","",[No title available],2016,"Ban the Box, Criminal Records, and Statistical Discrimination: A Field Experiment","4",,,"","",,1,,,Article,"Final",,Scopus,2-s2.0-85048271118
"Cherrie, B., Alan, B.","",[No title available],2016,"THE PRICE WE PAY: ECONOMIC COSTS OF BARRIERS TO EMPLOYMENT FOR FORMER PRISONERS AND PEOPLE CONVICTED OF FELONIES","1",,,"","",,1,,,Article,"Final",,Scopus,2-s2.0-85048250757
"Leroy, H., Mor, S.","","Integrity through the lens of identity integration: Private and public self-consciousness, state authenticity, and networking success",2015,"Working Paper",,,,"","",,1,,,Article,"Final",,Scopus,2-s2.0-85056259100
[No author name available],[No author id available],[No title available],2015,,,,,"","",,1,,,Article,"Final",,Scopus,2-s2.0-85056263384
[No author name available],[No author id available],[No title available],2015,,,,,"","",,1,,,Article,"Final",,Scopus,2-s2.0-85056276160
"Flake, D.F.","","When Any Sentence Is a Life Sentence: Employment Discrimination Against Ex-Offenders",2015,"WASH. U. L. REV","93",,,"","",,1,,,Article,"Final",,Scopus,2-s2.0-85048277278
"Nishii, L., Leroy, H., Simons, T.","","Walking your diversity talk: The effects of espoused and enacted climate for inclusion on performance and financial outcomes",2014,"Paper presented at the annual meeting of the Society for Industrial and Organizational Psychology, Honolulu, HI",,,,"","",,1,,,Article,"Final",,Scopus,2-s2.0-85056282837
"Jacobsen, J.P., Khamis, M., Yuksel, M.","",[No title available],2014,"Convergences in Men's and Women's Life Patterns: Lifetime Work, Lifetime Earnings, and Human Capital Investment",,,,"","",,1,,,Article,"Final",,Scopus,2-s2.0-85029392450
"Griffith, K.L.","","When federal immigration exclusion meets subfederal workplace inclusion: A forensic approach to legislative history",2014,"N.Y.U. Journal of Legislation and Public Policy","17","4",,"881","917",,1,,,Article,"Final",,Scopus,2-s2.0-85050290559
"Horta, A.P.C.B.O., Gonçalves De Oliveira, M.P.","",[No title available],2014,"Integration policies: Portugal country report",,,,"","",,1,,,Article,"Final",,Scopus,2-s2.0-85049613440
"Bell, S.D.","","The Long Shadow: Decreasing Barriers to Employment, Housing, and Civic Participation for People with Criminal Records Will Improve Public Safety and Strengthen the Economy",2014,"W. ST. L. REV","42",,,"1","2",,1,,,Article,"Final",,Scopus,2-s2.0-85048281670
[No author name available],[No author id available],[No title available],2013,,,,,"","",,1,,,Article,"Final",,Scopus,2-s2.0-85056277244
[No author name available],[No author id available],[No title available],2013,,,,,"","",,1,,,Article,"Final",,Scopus,2-s2.0-85056285839
"Hershbein, B., Hollenbeck, K.","","The distribution of college graduate debt, 1990 to 2008: A decomposition approach",2013,"Upjohn Institute Working Paper",,,,"14","204",,1,,,Article,"Final",,Scopus,2-s2.0-85053896493
[No author name available],[No author id available],[No title available],2013,"Acesso a Cidadania E O Seu Impacto Sobre a integração Dos Imigrantes: Guia Para Portugal.",,,,"","",,1,,,Article,"Final",,Scopus,2-s2.0-85049659023
"Horta, A.P.B.","","A imigração em Portugal: Um contributo para o debate sobre as políticas e práticas de integração",2013,"Migrações na Europa e em Portugal: Ensaios de homenagem a Maria Ioannis Baganha",,,,"227","250",,1,,,Article,"Final",,Scopus,2-s2.0-85049632037
"Clark, M.","","Should More States Require Racial Impact Statements for New Laws?",2013,"PEW CHARITABLE TR",,,,"","",,1,,,Article,"Final",,Scopus,2-s2.0-85048299647
"Cooper, J., Trujillo, M.D.","7406075173;56468936800;","Multiple meanings of communicative acts in the reduction of vicarious cognitive dissonance",2013,"Social Cognition and Communication",,,,"121","136",,1,"10.4324/9780203744628","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920462656&doi=10.4324%2f9780203744628&partnerID=40&md5=d2509b3a1c9c6c0b0d5d7c6287ee8dea",Book Chapter,"Final",,Scopus,2-s2.0-84920462656
"Carroll, E.","",[No title available],2012,"Developing Labor Leadership: Assessing a Journey to Solid Ground (Capstone Project for master’s Degree in Labor Studies)",,,,"","",,1,,,Article,"Final",,Scopus,2-s2.0-85055242273
"Sunderhaus, S.","",[No title available],2012,"Regularization Programs for Undocumented Migrants: A Global Survey on More Than 60 Legalizations in All Continents",,,,"","",,1,,,Article,"Final",,Scopus,2-s2.0-85050308760
"Pires, S.","","Immigrant civil society in Italy and Portugal: do past political legacies frame present political opportunities structures?",2012,"Pole Sud","37",,,"75","95",,1,,,Article,"Final",,Scopus,2-s2.0-85049607777
"Malheiros, J.","","Buenas prácticas en las políticas de integración de migrantes: El caso portugués",2012,"Presented at International Seminar, “Las políticas Migratorias En México Y El mundo.”",,,,"","",,1,,,Article,"Final",,Scopus,2-s2.0-85049658383
"Bäckström, B., Castro-Pereira, S.","","A questão migratória e as estratégias de convivencia entre culturas diferentes em Portugal",2012,"Revista interdisciplinar da mobilidade humana","20","38",,"83","100",,1,,,Article,"Final",,Scopus,2-s2.0-85049644284
[No author name available],[No author id available],[No title available],2012,"Enforcement Guidance: Consideration of Arrest and Conviction Records in Employment Decisions under Title VII of the Civil Rights Act of 1964, EEOC",,,,"","",,1,,,Article,"Final",,Scopus,2-s2.0-85048250282
"Vitorino, A.","","Prefácio",2011,"Os imigrantes e a imigração aos olhos dos portugueses: Manifestações de preconceito e perspectivas sobre a inserção de imigrantes",,,,"11","14",,1,,,Article,"Final",,Scopus,2-s2.0-85049634561
"Pires, S.","","Imigração e governos constitucionais em Portugal: Que estrutura de oportunidades políticas?",2011,"Os imigrantes e a imigração aos olhos dos portugueses: Manifestações de preconceito e perspectivas sobre a inserção de imigrantes",,,,"95","132",,1,,,Article,"Final",,Scopus,2-s2.0-85049640545
"Farnham, A.","","Occupy Wall Street protests rankle the rich.",2011,"ABC News.",,,,"","",,1,,,Article,"Final",,Scopus,2-s2.0-85045715821
"Sanders, B.","",[No title available],2011,"Countdown with Keith Olbermann.",,,,"","",,1,,,Article,"Final",,Scopus,2-s2.0-85045697610
"Hartman, A.","","Occupy Wall Street: A new culture war?",2011,"The Chronicle of Higher Education.",,,,"","",,1,,,Article,"Final",,Scopus,2-s2.0-85045700696
"Bingham, A.","","Herman Cain tells Occupy Wall Street protesters to 'blame yourself'.",2011,"ABC News.",,,,"","",,1,,,Article,"Final",,Scopus,2-s2.0-85045712856
"Fontes, M., Margolies, K.","",[No title available],2010,"Youth and Unions (Research Report Produced by the Worker Institute at Cornell ILR)",,,,"","",,1,,,Article,"Final",,Scopus,2-s2.0-85055239927
[No author name available],[No author id available],[No title available],2010,"Updated CPI-U-RS, All Items and All Items less Food and Energy",,,,"","",,1,,,Article,"Final",,Scopus,2-s2.0-85053864238
"Cunha, I.","","Pelos imigrantes, com os imigrantes",2010,"Revista Migrações","6",,,"204","215",,1,,,Article,"Final",,Scopus,2-s2.0-85049618671
"Carvalhais, I.E.","",[No title available],2010,"Citizenship Policymaking in Mediterranean EU States: Portugal",,,,"","",,1,,,Article,"Final",,Scopus,2-s2.0-85049626652
[No author name available],[No author id available],"II plano para a integração dos imigrantes 2010–2013",2010,"Diário Da República 1","182",,,"","",,1,,,Article,"Final",,Scopus,2-s2.0-85049657920
"Vianna, C.","","O desafio das associações de imigrantes",2010,"Revista Migrações","6",,,"219","232",,1,,,Article,"Final",,Scopus,2-s2.0-85049652349
[No author name available],[No author id available],[No title available],2010,"COLLATERAL CONSEQUENCES OF CONVICTION ACT","2","1",,"5","",,1,,,Article,"Final",,Scopus,2-s2.0-85048283134
"Alexander, M.","",[No title available],2010,"THE NEW JIM CROW: MASS INCARCERATION IN THE AGE OF COLORBLINDNESS","4",,,"","",,1,,,Article,"Final",,Scopus,2-s2.0-85048283642
"Alvarez, S.M., Whitefield, P., Emrani, Y.","","Is there a woman’s way of organizing? Gender, unions, and effective organizing",2009,"ILR Research Studies and Reports",,,,"","",,1,,,Article,"Final",,Scopus,2-s2.0-85055240511
[No author name available],[No author id available],"Overcoming barriers: Human mobility and development",2009,"Human Development Report",,,,"","",,1,,,Article,"Final",,Scopus,2-s2.0-85049623505
[No author name available],[No author id available],[No title available],2009,"Protection statuses complementing EU legislation regarding immigration and asylum in Portugal",,,,"","",,1,,,Article,"Final",,Scopus,2-s2.0-85049618858
"Paul, B.","",[No title available],2009,"LET’S GET FREE: A HIP-HOP THEORY OF JUSTICE",,,,"36","37",,1,,,Article,"Final",,Scopus,2-s2.0-85048273439
"Diana, B.","",[No title available],2009,"FROM THE CLASSROOM TO THE COMMUNITY: EXPLORING THE ROLE OF EDUCATION DURING INCARCERATION AND REENTRY","17",,,"","",,1,,,Article,"Final",,Scopus,2-s2.0-85048263744
"Alvarez, S.","",[No title available],2008,"Learning to Lead Change: Using Change Theory to Develop Union Leaders",,,,"","",,1,,,Article,"Final",,Scopus,2-s2.0-85055238671
"Chideya, F.","","Iowa Considering Racial Impact in Sentencing Laws",2008,"NPR",,,,"","",,1,,,Article,"Final",,Scopus,2-s2.0-85048267003
"Shawn, B.","",[No title available],2007,"BARRIERS TO REENTRY? THE LABOR MARKET FOR RELEASED PRISONERS IN POST-INDUSTRIAL AMERICA",,,,"89","",,1,,,Article,"Final",,Scopus,2-s2.0-85048291075
[No author name available],[No author id available],[No title available],2006,"Young adults’ Finances Poll 2006",,,,"","",,1,,,Article,"Final",,Scopus,2-s2.0-85053939846
"Queiroz, M.","","Immigration: Portugal opens doors, bucks EU trend",2006,"Inter Press Service News Agency",,,,"","",,1,,,Article,"Final",,Scopus,2-s2.0-85049647695
"Royston, P.","","ICE: Stata Module for Multiple Imputation of Missing Values,” (Rev. 11, Statistical Software Components S446602)",2006,,,,,"","",,1,,,Article,"Final",,Scopus,2-s2.0-85012122814
[No author name available],[No author id available],[No title available],2005,"Jornal de Notícias",,,,"","",,1,,,Article,"Final",,Scopus,2-s2.0-85049639918
"Summers, L.H.","",[No title available],2005,"Remarks at NBER Conference on Diversifying the Science &amp; Engineering Workforce.” Given on January 14, 2005. Cambridge, MA",,,,"","",,1,,,Article,"Final",,Scopus,2-s2.0-85012186893
"Hakim, C.","","Lifestyle preferences and patriarchal values: causal and non-causal attitudes",2003,"Changing Life Patterns in Western Industrial Societies",,,,"","",,1,,,Article,"Final",,Scopus,2-s2.0-85012234996
[No author name available],[No author id available],[No title available],2002,"THE 2002 CORRECTIONS YEARBOOK: ADULT CORRECTIONS","118",,,"124","125",,1,,,Article,"Final",,Scopus,2-s2.0-85048254612
